Name,Image,ItemQuality,ItemType,ItemSourcing,StrengthModifier,AgilityModifier,IntellectModifier,CharmModifier,HPModifier,BiteModifier,CritchanceModifier,ClaimresModifier,ConversionchanceModifier,Cost,Weight,StrengthRequired,AgilityRequired,IntellectRequired,CharmRequired,BiteRequired,FightswonRequired,FightslostRequired
The Waddlebrim,item_imgs/The Waddlebrim.png,Unique,Armor Head,Fishing,15,-15,-10,20,0,0,0,0,0,150,1,0,0,0,0,0,0,0
Dodo Fish,item_imgs/Dodo Fish.png,Broken,Trash,Fishing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stale bread,item_imgs/Stale bread.png,Broken,Trash,Fishing,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Moldy Apple,item_imgs/Moldy Apple.png,Broken,Trash,Fishing,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Slug,item_imgs/Slug.png,Decent,Trash,Fishing,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Protesting rooster,item_imgs/Protesting rooster.png,Superb,Treasure,Fishing,0,0,0,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0
Enormous inflatable banana,item_imgs/Enormous inflatable banana.png,Decent,Trash,Fishing,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
Rainbow-coloured clown wig,item_imgs/Rainbow-coloured clown wig.png,Decent,Armor Head,Fishing,0,0,0,3,0,0,0,0,0,10,1,0,0,0,0,0,0,0
Neon orange traffic cone,item_imgs/Neon orange traffic cone.png,Broken,Trash,Fishing,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Disco ball,item_imgs/Disco ball.png,Broken,Treasure,Fishing,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0
Unicycle from the 1900s,item_imgs/Unicycle from the 1900s.png,Broken,Rare Treasure,Fishing,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0
Hula hoop,item_imgs/Hula hoop.png,Decent,Armor Body,Fishing,1,3,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0
Suitcase filled with spaghetti,item_imgs/Suitcase filled with spaghetti.png,Superb,Treasure,Fishing,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0
Fluffy feather boa,item_imgs/Fluffy feather boa.png,Decent,Armor Head,Fishing,0,0,0,3,0,0,0,0,0,15,1,0,0,0,0,0,0,0
Juggling pin,item_imgs/Juggling pin.png,Broken,Trash,Fishing,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Festive party hat,item_imgs/Festive party hat.png,Broken,Armor Head,Fishing,0,0,0,2,0,0,0,0,0,10,1,0,0,0,0,0,0,0
Cactus plant,item_imgs/Cactus plant.png,Decent,Trash,Fishing,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Deflated rubber tire,item_imgs/Deflated rubber tire.png,Broken,Trash,Fishing,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0
Oversized guitar pick,item_imgs/Oversized guitar pick.png,Superb,Trash,Fishing,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Bag of confetti,item_imgs/Bag of confetti.png,Decent,Trash,Fishing,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Polished bowling ball,item_imgs/Polished bowling ball.png,Superb,Treasure,Fishing,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0
Fake mustache,item_imgs/Fake mustache.png,Decent,Armor Head,Fishing,0,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Squishy stress ball,item_imgs/Squishy stress ball.png,Decent,Trash,Fishing,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
